Model,Language,Layer,Total Outputs,Unique Outputs,Duplicate Ratio,# Outputs >10,Top 5 %,Entropy (bits),Most Frequent Output,Top 3 Outputs
gemma-3-12b-it,German,1,10000,5431,45.69%,71,2.27%,11.8," ు

Welches Wort ist das?

","{' ు\n\nWelches Wort ist das?\n\n': 53, ' ণ\n\nDie Antwort ist: ণ\n\n': 52, ' 웅\n\nIch bin mir nicht sicher, ob': 50}"
gemma-3-12b-it,German,2,10000,6189,38.11%,49,1.66%,12.12," ь

Die Antwort ist: **ь**","{' ь\n\nDie Antwort ist: **ь**': 42, ' ণ\n\nDie Antwort ist: ণ\n\n': 38, ' ரு\n\nDie Antwort ist: **ரு**': 31}"
gemma-3-12b-it,German,3,10000,6772,32.28%,44,1.80%,12.3," unglücklich

Das Wort ist ""ungl","{' unglücklich\n\nDas Wort ist ""ungl': 61, ' 1) 1) 1) ': 40, ' Zeit\n\nDas Wort ist ""Zeit"".\n<end_of_turn>': 33}"
gemma-3-12b-it,German,4,10000,7443,25.57%,25,0.94%,12.56," Stelle

Ich habe das Wort ""Stelle""","{' Stelle\n\nIch habe das Wort ""Stelle""': 23, ' Zeit\n\nDas Wort ist ""Zeit"".\n<end_of_turn>': 19, ' Bereich\n\nDas Wort ""Bereich"" kommt zweimal': 19}"
gemma-3-12b-it,German,5,10000,7532,24.68%,30,1.10%,12.57," Haus

Das Wort ist ""Haus"".
<end_of_turn>","{' Haus\n\nDas Wort ist ""Haus"".\n<end_of_turn>': 30, ' Zeit\n\nDas Wort ist ""Zeit"".\n<end_of_turn>': 22, ' Stelle\n\nIch habe das Wort ""Stelle""': 20}"
gemma-3-12b-it,German,6,10000,7565,24.35%,27,1.06%,12.58," Haus

Das Wort ist ""Haus"".
<end_of_turn>","{' Haus\n\nDas Wort ist ""Haus"".\n<end_of_turn>': 31, ' Zeit\n\nDas Wort ist ""Zeit"".\n<end_of_turn>': 20, ' Stelle\n\nIch habe das Wort ""Stelle""': 19}"
gemma-3-12b-it,German,7,10000,7714,22.86%,26,0.92%,12.63," Haus

Das Wort ""Haus"" kommt zweimal vor","{' Haus\n\nDas Wort ""Haus"" kommt zweimal vor': 20, ' Punkt\n\nIch habe das Wort ""Punkt""': 19, ' Meister\n\nIch habe das Wort ""Meister""': 19}"
gemma-3-12b-it,German,8,10000,7920,20.80%,20,1.03%,12.7," Haus

Das Wort ""Haus"" kommt zweimal vor","{' Haus\n\nDas Wort ""Haus"" kommt zweimal vor': 32, ' Punkt\n\nIch habe das Wort ""Punkt""': 20, ' Spiel\n\nDas Wort ""Spiel"" kommt zweimal vor': 19}"
gemma-3-12b-it,German,9,10000,7982,20.18%,19,1.06%,12.72," Haus

Das Wort ""Haus"" kommt zweimal vor","{' Haus\n\nDas Wort ""Haus"" kommt zweimal vor': 37, ' Punkt\n\nIch habe das Wort ""Punkt""': 20, ' Seite\n\nIch habe das Wort ""Seite"" zweimal': 18}"
gemma-3-12b-it,German,10,10000,8005,19.95%,20,0.98%,12.73," Haus

Das Wort ""Haus"" kommt zweimal vor","{' Haus\n\nDas Wort ""Haus"" kommt zweimal vor': 35, ' Seite\n\nIch habe das Wort ""Seite"" zweimal': 17, ' Punkt\n\nIch habe das Wort ""Punkt""': 16}"
gemma-3-12b-it,German,11,10000,8200,18.00%,14,0.97%,12.79," Haus

Das Wort ""Haus"" kommt zweimal vor","{' Haus\n\nDas Wort ""Haus"" kommt zweimal vor': 31, ' Punkt\n\nIch habe das Wort ""Punkt""': 21, ' Film\n\nIch habe das Wort ""Film"" zweimal': 16}"
gemma-3-12b-it,German,12,10000,8291,17.09%,14,0.80%,12.83," Haus

Das Wort ""Haus"" kommt zweimal vor","{' Haus\n\nDas Wort ""Haus"" kommt zweimal vor': 25, ' Platz\n\nIch habe das Wort ""Platz"" in': 15, ' Geschichte\n\nIch habe das Wort ""Geschichte"" zweimal': 14}"
gemma-3-12b-it,German,13,10000,8394,16.06%,9,0.66%,12.86," Spiel

Ich habe das Wort ""Spiel"" zweimal","{' Spiel\n\nIch habe das Wort ""Spiel"" zweimal': 14, ' Zeit\n\nIch habe das Wort ""Zeit"" zweimal': 14, ' Punkt\n\nIch habe das Wort ""Punkt""': 14}"
gemma-3-12b-it,German,14,10000,8289,17.11%,11,0.90%,12.82," Zeit

Ich habe das Wort ""Zeit"" zweimal","{' Zeit\n\nIch habe das Wort ""Zeit"" zweimal': 26, ' Spiel\n\nIch habe das Wort ""Spiel"" zweimal': 20, ' Punkt\n\nIch habe das Wort ""Punkt""': 17}"
gemma-3-12b-it,German,15,10000,8110,18.90%,21,1.17%,12.76," Zeit

Ich habe das Wort ""Zeit"" zweimal","{' Zeit\n\nIch habe das Wort ""Zeit"" zweimal': 39, ' Spiel\n\nIch habe das Wort ""Spiel"" zweimal': 27, ' Punkt\n\nIch habe das Wort ""Punkt""': 18}"
gemma-3-12b-it,German,16,10000,7907,20.93%,20,1.25%,12.7," Zeit

Ich habe das Wort ""Zeit"" zweimal","{' Zeit\n\nIch habe das Wort ""Zeit"" zweimal': 39, ' Spiel\n\nIch habe das Wort ""Spiel"" zweimal': 28, ' Punkt\n\nIch habe das Wort ""Punkt""': 21}"
gemma-3-12b-it,German,17,10000,7772,22.28%,27,1.28%,12.65," Zeit

Ich habe das Wort ""Zeit"" zweimal","{' Zeit\n\nIch habe das Wort ""Zeit"" zweimal': 38, ' Spiel\n\nIch habe das Wort ""Spiel"" zweimal': 28, ' Weg\n\nIch habe das Wort ""Weg""': 21}"
gemma-3-12b-it,German,18,10000,7715,22.85%,25,1.36%,12.63,"

Ich habe eine Frage zu einem Text. Das","{'\n\nIch habe eine Frage zu einem Text. Das': 34, ' Zeit\n\nIch habe das Wort ""Zeit"" zweimal': 33, ' Spiel\n\nIch habe das Wort ""Spiel"" zweimal': 29}"
gemma-3-12b-it,German,19,10000,7510,24.90%,34,1.93%,12.51,"

Ich habe eine Frage zu einem Text. Das","{'\n\nIch habe eine Frage zu einem Text. Das': 66, '\n\nDie Antwort ist: **""dasselbe': 38, ' 1.\n\nDas Wort ist ""1"".': 31}"
gemma-3-12b-it,German,20,10000,7395,26.05%,40,2.39%,12.44,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 74, '\n\nIch habe eine Frage zu einem Text. Das': 69, ' 1) 1) 1) ': 35}"
gemma-3-12b-it,German,21,10000,7258,27.42%,40,3.75%,12.31,"

Ich habe eine Frage zu einem Text. Das","{'\n\nIch habe eine Frage zu einem Text. Das': 126, '\n\nDie Antwort ist: **""dasselbe': 106, '\n\nIch habe das Wort ""dasselbe""': 53}"
gemma-3-12b-it,German,22,10000,7021,29.79%,35,6.16%,12.07,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 186, '\n\nIch habe eine Frage zu einem Text. Das': 157, '\n\nDie Antwort ist: **""und""**.': 117}"
gemma-3-12b-it,German,23,10000,5972,40.28%,39,13.31%,11.12,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 403, '\n\nDie Antwort ist: **""und""**.': 273, '\n\nIch habe eine Frage zu einem Text. Das': 244}"
gemma-3-12b-it,German,24,10000,4258,57.42%,34,27.11%,9.2,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 909, '\n\nIch habe das Wort ""dasselbe""': 591, '\n\nIch habe das Gefühl, dass ich mich wieder': 480}"
gemma-3-12b-it,German,25,10000,3024,69.76%,32,40.60%,7.48,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 1890, ' 3) 4) 5)\n\n': 665, '\n\nIch habe das Gefühl, dass ich mich wieder': 618}"
gemma-3-12b-it,German,26,10000,2250,77.50%,30,50.32%,6.3,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 2900, '\n\nIch habe eine Frage zu einem Text. Das': 606, '\n\nIch habe das Wort ""dasselbe""': 562}"
gemma-3-12b-it,German,27,10000,1699,83.01%,25,58.92%,5.39,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 3518, '\n\nIch habe das Wort ""dasselbe""': 795, ' 3) 4) 5)\n\n': 621}"
gemma-3-12b-it,German,28,10000,1358,86.42%,26,60.10%,5.05,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 3353, '\n\nIch habe das Wort ""dasselbe""': 1062, '\n\nIch habe eine Frage zu einem Text. Das': 634}"
gemma-3-12b-it,German,29,10000,1228,87.72%,26,64.21%,4.9,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 2604, ' 3) 4) 5)\n\n': 1182, '\n\nIch habe das Wort ""dasselbe""': 1166}"
gemma-3-12b-it,German,30,10000,1349,86.51%,39,58.31%,5.29,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 2448, '\n\nIch habe das Wort ""dasselbe""': 1093, ' 3) 4) 5)\n\n': 1091}"
gemma-3-12b-it,German,31,10000,1122,88.78%,34,59.12%,4.98,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 2615, ' 3) 4) 5)\n\n': 1117, '\n\nIch habe das Wort ""dasselbe""': 848}"
gemma-3-12b-it,German,32,10000,764,92.36%,31,63.46%,4.54,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 2780, ' 3) 4) 5)\n\n': 1007, '\n\nIch habe eine Frage zu einem Text. Das': 989}"
gemma-3-12b-it,German,33,10000,512,94.88%,30,71.26%,3.95,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 3432, ' 3) 4) 5)\n\n': 1019, '\n\nIch habe eine Frage zu einem Text. Das': 1013}"
gemma-3-12b-it,German,34,10000,437,95.63%,29,70.38%,3.89,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 3456, '\n\nIch habe eine Frage zu einem Text. Das': 1057, ' 3) 4) 5)\n\n': 1024}"
gemma-3-12b-it,German,35,10000,281,97.19%,23,71.07%,3.71,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 2647, '\n\nIch habe eine Frage zu einem Text. Das': 1231, ' 3) 4) 5)\n\n': 1105}"
gemma-3-12b-it,German,36,10000,330,96.70%,33,72.18%,3.79,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 3236, '\n\nIch habe eine Frage zu einem Text. Das': 1122, ' 3) 4) 5)\n\n': 1032}"
gemma-3-12b-it,German,37,10000,227,97.73%,31,75.06%,3.65,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 2925, ' 3) 4) 5)\n\n': 1407, '\n\nIch habe eine Frage zu einem Text. Das': 1190}"
gemma-3-12b-it,German,38,10000,176,98.24%,29,78.00%,3.49,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 2892, '\n\nIch habe eine Frage zu einem Text. Das': 1479, ' 3) 4) 5)\n\n': 1436}"
gemma-3-12b-it,German,39,10000,145,98.55%,27,78.73%,3.45,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 2853, '\n\nIch habe eine Frage zu einem Text. Das': 1450, ' 3) 4) 5)\n\n': 1333}"
gemma-3-12b-it,German,40,10000,119,98.81%,28,78.52%,3.43,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 2531, ' 3) 4) 5)\n\n': 1615, '\n\nIch habe das Wort ""dasselbe""': 1428}"
gemma-3-12b-it,German,41,10000,105,98.95%,31,78.71%,3.47,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 2022, ' 3) 4) 5)\n\n': 1699, '\n\nIch habe das Gefühl, dass ich mich wieder': 1453}"
gemma-3-12b-it,German,42,10000,104,98.96%,31,77.23%,3.51,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 2183, ' 3) 4) 5)\n\n': 1827, '\n\nIch habe das Wort ""dasselbe""': 1256}"
gemma-3-12b-it,German,43,10000,87,99.13%,28,73.98%,3.55," 3) 4) 5)

","{' 3) 4) 5)\n\n': 1958, '\n\nDie Antwort ist: **""dasselbe': 1541, '\n\nIch habe das Wort ""dasselbe""': 1414}"
gemma-3-12b-it,German,44,10000,76,99.24%,28,78.54%,3.4,"

Ich habe das Wort ""dasselbe""","{'\n\nIch habe das Wort ""dasselbe""': 1797, '\n\nIch habe das Gefühl, dass ich mich wieder': 1740, ' 3) 4) 5)\n\n': 1684}"
gemma-3-12b-it,German,45,10000,71,99.29%,23,81.34%,3.21,"

Ich habe das Gefühl, dass ich mich wieder","{'\n\nIch habe das Gefühl, dass ich mich wieder': 2311, '\n\nIch habe das Wort ""dasselbe""': 1742, ' 3) 4) 5)\n\n': 1662}"
gemma-3-12b-it,German,46,10000,72,99.28%,24,80.23%,3.18,"

Ich habe das Wort ""dasselbe""","{'\n\nIch habe das Wort ""dasselbe""': 2638, '\n\nIch habe das Gefühl, dass ich mich wieder': 2115, ' 3) 4) 5)\n\n': 1480}"
gemma-3-12b-it,German,47,10000,53,99.47%,20,86.30%,2.87,"

Ich habe das Gefühl, dass ich mich wieder","{'\n\nIch habe das Gefühl, dass ich mich wieder': 2835, '\n\nIch habe das Wort ""dasselbe""': 2737, ' 3) 4) 5)\n\n': 1338}"
gemma-3-12b-it,German,48,10000,393,96.07%,29,78.35%,3.06," 3) 4) 5)

","{' 3) 4) 5)\n\n': 5723, '\n\nIch habe das Wort ""dasselbe""': 632, ' 3) 4) 5) ': 591}"
gemma-3-12b-it,Korean,1,10000,1981,80.19%,204,8.34%,9.48,"자

이것은 문법적으로 잘못된","{'자\n\n이것은 문법적으로 잘못된': 298, '부\n\n이 단어는 문맥에 따라': 150, '사\n\n이것은 오타일까요?': 138}"
gemma-3-12b-it,Korean,2,10000,2811,71.89%,169,6.16%,10.17,"자

이것은 문법적으로 잘못된","{'자\n\n이것은 문법적으로 잘못된': 188, '부\n\n이 단어는 문맥에 따라': 131, ' 원\n\n이 문장을 수정하면 다음과 같습니다.': 107}"
gemma-3-12b-it,Korean,3,10000,4302,56.98%,131,4.77%,11.03," 기

이 문장을 수정하면 다음과 같습니다.","{' 기\n\n이 문장을 수정하면 다음과 같습니다.': 116, ' 자\n\n이것은 문법적으로 잘못된': 105, ' 원\n\n이 문장을 수정하면 다음과 같습니다.': 97}"
gemma-3-12b-it,Korean,4,10000,5886,41.14%,74,4.06%,11.77, 1) 1) 1) ,"{' 1) 1) 1) ': 150, ' 기\n\n이 문장을 수정하면 다음과 같습니다.': 76, ' 자\n\n이 문장을 수정하면 다음과 같습니다.': 64}"
gemma-3-12b-it,Korean,5,10000,6409,35.91%,57,5.81%,11.86, 1) 1) 1) ,"{' 1) 1) 1) ': 379, ' 3) 4) 5) ': 54, ' 1)\n\n수정 제안:\n\n': 53}"
gemma-3-12b-it,Korean,6,10000,6601,33.99%,49,8.19%,11.78, 1) 1) 1) ,"{' 1) 1) 1) ': 574, ' 1)\n\n이 문장을 수정하면 다음과': 88, ' 1)\n\n수정 제안:\n\n': 64}"
gemma-3-12b-it,Korean,7,10000,6575,34.25%,46,10.93%,11.61, 1) 1) 1) ,"{' 1) 1) 1) ': 768, ' 1)\n\n수정 제안:\n\n': 111, ' 1)\n\n이 문장을 수정하면 다음과': 104}"
gemma-3-12b-it,Korean,8,10000,6625,33.75%,35,14.92%,11.33, 1) 1) 1) ,"{' 1) 1) 1) ': 1111, ' 1)\n\n수정 제안:\n\n': 139, ' 1)\n\n이 문장을 수정하면 다음과': 114}"
gemma-3-12b-it,Korean,9,10000,6618,33.82%,29,17.47%,11.15, 1) 1) 1) ,"{' 1) 1) 1) ': 1326, ' 1)\n\n수정 제안:\n\n': 141, ' 1)\n\n이 문장을 수정하면 다음과': 131}"
gemma-3-12b-it,Korean,10,10000,6673,33.27%,33,15.40%,11.31, 1) 1) 1) ,"{' 1) 1) 1) ': 1146, ' 1)\n\n수정 제안:\n\n': 152, ' 1)\n\n이 문장을 수정하면 다음과': 132}"
gemma-3-12b-it,Korean,11,10000,6739,32.61%,39,13.57%,11.48, 1) 1) 1) ,"{' 1) 1) 1) ': 974, ' 1)\n\n이 문장을 수정하면 다음과': 141, ' 1)\n\n수정 제안:\n\n': 130}"
gemma-3-12b-it,Korean,12,10000,6762,32.38%,28,14.46%,11.43, 1) 1) 1) ,"{' 1) 1) 1) ': 1058, ' 1)\n\n이 문장을 수정하면 다음과': 124, ' 1)\n\n수정 제안:\n\n': 113}"
gemma-3-12b-it,Korean,13,10000,6664,33.36%,34,14.78%,11.36, 1) 1) 1) ,"{' 1) 1) 1) ': 1088, ' 1)\n\n이 문장을 수정하면 다음과': 154, ' 3) 4) 5) ': 94}"
gemma-3-12b-it,Korean,14,10000,6601,33.99%,44,13.38%,11.41, 1) 1) 1) ,"{' 1) 1) 1) ': 1030, ' 1)\n\n이 문장을 수정하면 다음과': 120, ' 3) 4) 5) ': 70}"
gemma-3-12b-it,Korean,15,10000,6536,34.64%,36,11.70%,11.51, 1) 1) 1) ,"{' 1) 1) 1) ': 851, ' 1\n\n이 문장을 수정하면 다음과 같습니다': 119, ' 1)\n\n이 문장을 수정하면 다음과': 75}"
gemma-3-12b-it,Korean,16,10000,6369,36.31%,38,11.75%,11.48, 1) 1) 1) ,"{' 1) 1) 1) ': 791, ' 1\n\n이 문장을 수정하면 다음과 같습니다': 149, ' 1\n\n이 문장에서 ""1""이라는': 99}"
gemma-3-12b-it,Korean,17,10000,5721,42.79%,46,19.33%,10.62, 1) 1) 1) ,"{' 1) 1) 1) ': 1367, ' 1\n\n이 문장에서 ""1""이라는': 236, ' 1\n\n이 문장을 수정하면 다음과 같습니다': 115}"
gemma-3-12b-it,Korean,18,10000,5132,48.68%,53,23.49%,9.99, 1) 1) 1) ,"{' 1) 1) 1) ': 1744, ' 1\n\n이 문장에서 ""1""이라는': 234, ' 3) 4) 5) ': 142}"
gemma-3-12b-it,Korean,19,10000,4422,55.78%,54,28.17%,9.31, 1) 1) 1) ,"{' 1) 1) 1) ': 1913, ' 1\n\n이 문장에서 ""1""이라는': 299, ' 3) 4) 5) ': 240}"
gemma-3-12b-it,Korean,20,10000,3954,60.46%,49,33.74%,8.64, 1) 1) 1) ,"{' 1) 1) 1) ': 2317, ' 3) 4) 5) ': 339, ' 3)\n\n이 문장에서 반복되는 단': 284}"
gemma-3-12b-it,Korean,21,10000,3766,62.34%,46,35.49%,8.37, 1) 1) 1) ,"{' 1) 1) 1) ': 2287, ' 3) 4) 5) ': 405, ' 1) 1) 2)\n\n': 344}"
gemma-3-12b-it,Korean,22,10000,3415,65.85%,50,37.47%,8.05, 1) 1) 1) ,"{' 1) 1) 1) ': 2115, ' 3) 4) 5) ': 547, ' 3)\n\n이 문장에서 반복되는 단': 422}"
gemma-3-12b-it,Korean,23,10000,2463,75.37%,50,42.05%,7.19, 1) 1) 1) ,"{' 1) 1) 1) ': 1357, '\n\n1) 1)\n\n이것은': 1048, ' 3) 4) 5) ': 891}"
gemma-3-12b-it,Korean,24,10000,1750,82.50%,48,46.74%,6.29,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 1738, ' 1) 1) 1) ': 1065, ' 3) 4) 5) ': 901}"
gemma-3-12b-it,Korean,25,10000,1643,83.57%,41,44.23%,6.23, 3) 4) 5) ,"{' 3) 4) 5) ': 1258, '\n\n1) 1)\n\n이것은': 1157, ' 1) 1) 1) ': 939}"
gemma-3-12b-it,Korean,26,10000,1446,85.54%,49,48.44%,5.95,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 1870, ' 3) 4) 5) ': 1042, ' 1) 1) 1) ': 796}"
gemma-3-12b-it,Korean,27,10000,1242,87.58%,48,54.38%,5.43,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 2878, '\n\n1) 1998년,': 850, '\n\n1) 1) 1) ': 613}"
gemma-3-12b-it,Korean,28,10000,1195,88.05%,47,51.75%,5.53,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 2531, '\n\n1) 1998년,': 1000, '\n\n1) 1) 1) ': 724}"
gemma-3-12b-it,Korean,29,10000,926,90.74%,42,54.94%,4.87,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 3454, '\n\n1) 1998년,': 539, '\n\n1) 1)\n\n이런 식으로': 521}"
gemma-3-12b-it,Korean,30,10000,918,90.82%,47,51.28%,5.25,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 2416, ' 3) 4) 5) ': 983, '\n\n1) 1998년,': 652}"
gemma-3-12b-it,Korean,31,10000,822,91.78%,47,48.69%,5.3,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 2077, ' 3) 4) 5) ': 1101, ' 3) 4) 5)\n\n': 650}"
gemma-3-12b-it,Korean,32,10000,667,93.33%,41,52.46%,4.84,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 2944, ' 3) 4) 5) ': 816, '\n\n1) 1) 1) ': 549}"
gemma-3-12b-it,Korean,33,10000,440,95.60%,36,57.92%,4.27,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 3695, ' 3) 4) 5) ': 620, '\n\n1) 1) 1) ': 593}"
gemma-3-12b-it,Korean,34,10000,392,96.08%,43,60.82%,4.11,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 4018, '\n\n1) 1) 1) ': 694, '\n\n1) 1)\n\n2) ': 545}"
gemma-3-12b-it,Korean,35,10000,159,98.41%,31,75.61%,2.99,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 5501, '\n\n1) 1) 1) ': 731, '\n\n1) 1)\n\n이런 식으로': 489}"
gemma-3-12b-it,Korean,36,10000,253,97.47%,32,66.45%,3.62,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 4551, '\n\n1) 1)\n\n2) ': 587, '\n\n1) 1) 1) ': 558}"
gemma-3-12b-it,Korean,37,10000,201,97.99%,33,71.86%,3.37,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 4701, '\n\n1) 1)\n\n2) ': 753, '\n\n1) 1) 2) ': 672}"
gemma-3-12b-it,Korean,38,10000,153,98.47%,32,77.70%,3.11,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 4972, '\n\n1) 1)\n\n2) ': 950, '\n\n1) 1) 2) ': 834}"
gemma-3-12b-it,Korean,39,10000,116,98.84%,31,79.75%,2.87,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 5474, '\n\n1) 1)\n\n2) ': 950, '\n\n1) 1) 2) ': 669}"
gemma-3-12b-it,Korean,40,10000,112,98.88%,28,83.19%,2.7,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 5640, '\n\n1) 1) 2) ': 937, '\n\n1) 1)\n\n2) ': 828}"
gemma-3-12b-it,Korean,41,10000,98,99.02%,29,82.50%,2.75,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 5486, '\n\n1) 1) 2) ': 1081, '\n\n1) 1)\n\n2) ': 704}"
gemma-3-12b-it,Korean,42,10000,93,99.07%,33,79.58%,3.09,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 4631, '\n\n1) 1) 2) ': 1231, '\n\n1) 1)\n\n2) ': 829}"
gemma-3-12b-it,Korean,43,10000,76,99.24%,30,82.64%,3.05,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 4254, '\n\n1) 1) 2) ': 1475, '\n\n1) 1)\n\n2) ': 1159}"
gemma-3-12b-it,Korean,44,10000,76,99.24%,33,77.91%,3.35,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 3416, '\n\n1) 1) 2) ': 1885, '\n\n1) 1)\n\n2) ': 1050}"
gemma-3-12b-it,Korean,45,10000,58,99.42%,28,79.03%,3.21,"

1) 1)

이것은","{'\n\n1) 1)\n\n이것은': 3105, '\n\n1) 1) 2) ': 2577, '\n\n1) 1) 1) ': 916}"
gemma-3-12b-it,Korean,46,10000,69,99.31%,30,78.80%,3.31,"

1) 1) 2) ","{'\n\n1) 1) 2) ': 2827, '\n\n1) 1)\n\n이것은': 2404, '\n\n1) 1) 1) ': 1228}"
gemma-3-12b-it,Korean,47,10000,63,99.37%,27,86.34%,2.98,"

1) 1) 2) ","{'\n\n1) 1) 2) ': 2907, '\n\n1) 1)\n\n이것은': 2382, '\n\n1) 1) 1) ': 1795}"
gemma-3-12b-it,Korean,48,10000,197,98.03%,37,61.66%,4.11," 1

이 문장에서 ""1""이라는","{' 1\n\n이 문장에서 ""1""이라는': 1926, ' 3) 4) 5)\n\n': 1670, ' 3) 4) 5) ': 891}"
